transcript_id,101112C14,101112H14,123C14,123H14,131415C14,131415H14,45C14,45H14,6C14,789H14,7C14,89C14
Montipora_capitata_HIv3___RNAseq.g4638.t1,974,771,646,1089,740,757,382,493,760,764,937,1210
Montipora_capitata_HIv3___RNAseq.g4639.t1,1538,1334,1086,1695,1164,1123,400,584,1147,1213,1414,1829
Montipora_capitata_HIv3___RNAseq.g4640.t1,469,401,322,300,413,433,124,389,312,404,433,504
Montipora_capitata_HIv3___RNAseq.g4651.t1,60,14,34,41,36,24,29,29,27,37,68,28
Montipora_capitata_HIv3___TS.g26337.t3,200,145,147,100,186,295,55,84,81,303,107,283
Montipora_capitata_HIv3___RNAseq.97_t,73,76,42,205,0,21,12,0,8,33,56,69
Montipora_capitata_HIv3___RNAseq.g4642.t1,1656,1413,1291,1715,1295,1543,470,164,909,2117,1151,2260
Montipora_capitata_HIv3___RNAseq.g4643.t1,731,648,342,581,667,713,325,388,654,732,607,883
Montipora_capitata_HIv3___TS.g26329.t1,682,548,520,483,429,466,93,91,204,557,454,1225
Montipora_capitata_HIv3___RNAseq.g4645.t1,2505,2146,1812,2188,1951,2234,1078,683,1507,2585,1756,3660
Montipora_capitata_HIv3___TS.g26331.t1,335,251,223,367,283,247,106,122,254,307,261,410
Montipora_capitata_HIv3___RNAseq.g4647.t1,453,325,163,209,494,437,154,116,243,311,304,431
Montipora_capitata_HIv3___RNAseq.g4653.t1,761,663,216,271,689,519,179,1185,574,306,632,629
Montipora_capitata_HIv3___RNAseq.g4648.t1,434,354,371,514,369,363,136,383,336,342,387,374
Montipora_capitata_HIv3___RNAseq.g4649.t1,757,688,464,860,819,713,324,287,496,879,1011,1040
Montipora_capitata_HIv3___RNAseq.g4650.t1,2582,1606,3409,1780,944,1553,1425,1290,1047,2520,683,1581
Montipora_capitata_HIv3___RNAseq.g4657.t1,0,8,19,18,0,8,23,0,0,36,0,7
Montipora_capitata_HIv3___RNAseq.g4660.t1,0,3,0,0,0,3,0,0,6,0,0,0
Montipora_capitata_HIv3___TS.g26343.t1,9,15,13,6,17,16,0,0,0,48,26,60
Montipora_capitata_HIv3___TS.g26345.t1,25,19,16,0,11,11,0,0,0,18,30,18
Montipora_capitata_HIv3___RNAseq.g4656.t1,1472,1502,1141,2020,1583,1626,504,305,838,1832,1663,2442
Montipora_capitata_HIv3___RNAseq.g4664.t1,6,2,4,13,10,4,17,0,28,0,28,8
Montipora_capitata_HIv3___TS.g26346.t1,30,32,18,39,11,8,8,20,27,17,25,10
Montipora_capitata_HIv3___TS.g26347.t1,302,300,254,327,478,415,96,76,255,237,259,264
Montipora_capitata_HIv3___RNAseq.g4665.t1,1025,872,268,573,1112,831,107,564,982,396,1273,1015
Montipora_capitata_HIv3___RNAseq.g4666.t1,1753,1032,1198,1119,870,1133,419,343,720,2105,761,1821
Montipora_capitata_HIv3___RNAseq.g4667.t1,5293,4426,2534,3821,5866,5225,1555,2717,3876,4944,4448,8371
Montipora_capitata_HIv3___TS.g26352.t1,2635,2187,1488,2465,1803,1436,797,956,1229,1587,2907,2669
Montipora_capitata_HIv3___RNAseq.g4669.t1,3087,2661,2450,3332,2882,2632,1021,709,1727,2630,2490,3613
Montipora_capitata_HIv3___RNAseq.g4670.t1,1858,1556,1567,1992,1775,1616,627,487,1087,1593,1420,2075
Montipora_capitata_HIv3___RNAseq.g4671.t1,6726,6316,4089,7976,6191,5756,2067,3288,3526,7514,5486,11760
Montipora_capitata_HIv3___RNAseq.g4672.t1,67,152,65,65,103,76,86,11,12,410,33,317
Montipora_capitata_HIv3___TS.g26359.t1,0,0,0,0,1,0,0,0,0,0,0,3
Montipora_capitata_HIv3___RNAseq.g4674.t1,1041,874,759,1352,863,810,369,971,870,996,1339,1021
Montipora_capitata_HIv3___RNAseq.g4675.t1,117,22,66,139,44,18,28,40,3,76,18,49
Montipora_capitata_HIv3___RNAseq.g4673.t1,8054,5045,6893,9429,3823,5045,2963,3744,3328,8708,3266,9413
Montipora_capitata_HIv3___RNAseq.g4677.t1,9,3,3,11,2,0,0,0,3,0,3,4
Montipora_capitata_HIv3___TS.g26365.t1,68,48,30,67,78,55,0,32,57,53,109,58
Montipora_capitata_HIv3___RNAseq.g4676.t1,4982,4273,4032,6305,4293,4657,2343,3576,4204,4399,5223,6768
Montipora_capitata_HIv3___RNAseq.g4683.t1,0,7,0,2,7,0,0,0,0,6,0,2
Montipora_capitata_HIv3___RNAseq.g4682.t1,1772,1913,661,1735,2081,2180,424,771,1537,1608,1670,3188
Montipora_capitata_HIv3___RNAseq.g4685.t1,0,0,6,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4686.t1,8,4,44,41,0,0,0,0,12,14,0,0
Montipora_capitata_HIv3___RNAseq.g4684.t1,173,169,131,152,159,234,0,75,75,142,111,132
Montipora_capitata_HIv3___TS.g26369.t1,1271,1224,1078,1552,1235,1273,677,1115,704,925,1364,1494
Montipora_capitata_HIv3___RNAseq.g4687.t1,1050,908,1066,1238,869,1076,340,312,801,1047,849,1212
Montipora_capitata_HIv3___RNAseq.g4688.t1,211,92,160,189,197,163,94,97,110,164,118,163
Montipora_capitata_HIv3___RNAseq.g4689.t1,312,230,228,228,235,229,61,80,229,301,126,376
Montipora_capitata_HIv3___RNAseq.g4690.t1,178,145,140,259,116,146,39,33,89,152,200,207
Montipora_capitata_HIv3___RNAseq.g4691.t1,2711,2393,1864,3925,2820,3015,923,1281,2086,2662,2956,4232
Montipora_capitata_HIv3___RNAseq.g4696.t1,92,45,19,77,96,104,32,27,40,55,74,73
Montipora_capitata_HIv3___TS.g26383.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26384.t1,0,0,0,0,0,1,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4697.t1,91,64,40,93,92,107,99,53,72,134,97,188
Montipora_capitata_HIv3___RNAseq.g4699.t1,182,113,101,39,66,135,58,0,41,151,83,139
Montipora_capitata_HIv3___TS.g26379.t2,152,124,158,191,120,114,27,21,113,166,172,228
Montipora_capitata_HIv3___RNAseq.g4695.t1,795,594,470,500,383,446,285,38,430,655,497,775
Montipora_capitata_HIv3___RNAseq.g4701.t1,0,8,0,0,11,0,0,16,9,0,0,3
Montipora_capitata_HIv3___RNAseq.g4702.t1,7,0,15,0,0,0,0,4,13,18,0,9
Montipora_capitata_HIv3___RNAseq.g4700.t1,172,224,31,51,125,129,0,0,21,354,101,477
Montipora_capitata_HIv3___TS.g26377.t2,3306,2972,1970,3747,3465,3400,946,1968,2237,2838,2607,5023
Montipora_capitata_HIv3___RNAseq.g4693.t1,2318,2004,1419,2370,2319,2105,554,1024,1686,2018,2616,2625
Montipora_capitata_HIv3___RNAseq.g4703.t1,1020,913,520,1200,1240,1002,398,494,737,1004,949,1637
Montipora_capitata_HIv3___TS.g26393.t1,0,0,0,0,4,2,0,0,0,0,0,5
Montipora_capitata_HIv3___TS.g26394.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26395.t2,219,162,133,123,140,112,71,141,137,137,171,139
Montipora_capitata_HIv3___RNAseq.g4704.t1,1356,1368,563,1338,1644,1871,219,611,1065,1097,1627,1929
Montipora_capitata_HIv3___RNAseq.g4705.t1,1758,902,2360,1524,706,1018,617,582,985,1519,620,1199
Montipora_capitata_HIv3___TS.g26402.t1,0,0,0,7,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26403.t1,101,217,11,16,29,56,47,15,364,171,0,189
Montipora_capitata_HIv3___TS.g26398.t1,0,4,0,0,0,6,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4707.t1,3415,3064,1463,2574,3664,3391,676,1285,2384,3407,2809,6362
Montipora_capitata_HIv3___RNAseq.g4708.t1,52,15,20,37,52,38,18,0,28,75,0,92
Montipora_capitata_HIv3___TS.g26405.t1,0,0,0,9,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4713.t3,2166,1502,4180,4845,1910,2570,1211,334,1236,3519,1033,2846
Montipora_capitata_HIv3___RNAseq.g4723.t1,18,0,0,9,24,17,0,0,7,21,22,0
Montipora_capitata_HIv3___RNAseq.g4724.t1a,33,5,16,10,7,9,0,0,9,43,15,11
Montipora_capitata_HIv3___RNAseq.g4725.t1,0,4,0,0,2,1,0,8,3,3,0,2
Montipora_capitata_HIv3___RNAseq.g4724.t1b,0,3,0,6,6,0,0,0,0,17,45,13
Montipora_capitata_HIv3___TS.g26422.t1,0,0,12,0,8,5,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4728.t1,4,0,3,7,0,2,0,0,0,0,0,4
Montipora_capitata_HIv3___RNAseq.g4727.t1,29,3,0,26,0,0,0,0,22,0,36,9
Montipora_capitata_HIv3___RNAseq.g4730.t1,617,445,123,394,699,613,153,414,323,439,491,687
Montipora_capitata_HIv3___RNAseq.g4722.t1,1610,1421,1377,2317,1495,1501,440,471,1020,1479,1699,2525
Montipora_capitata_HIv3___RNAseq.g4734.t1,396,142,240,254,25,9,146,19,32,74,247,54
Montipora_capitata_HIv3___TS.g26412.t1,0,0,0,0,1,0,0,2,0,1,0,2
Montipora_capitata_HIv3___RNAseq.g4717.t1,33,23,9,43,34,44,3,41,21,14,31,26
Montipora_capitata_HIv3___RNAseq.164_t,505,332,169,196,444,331,116,171,293,254,447,531
Montipora_capitata_HIv3___RNAseq.g4719.t1,3487,3046,2467,3803,3038,3171,1180,1452,2290,2458,3715,4065
Montipora_capitata_HIv3___RNAseq.g4720.t1,3275,2572,2152,4076,2320,2466,961,864,1776,2310,3316,3366
Montipora_capitata_HIv3___RNAseq.g4721.t1,43,45,82,44,21,10,0,0,13,62,29,50
Montipora_capitata_HIv3___RNAseq.g4739.t1,0,12,0,0,23,0,0,4,18,0,0,0
Montipora_capitata_HIv3___RNAseq.g4740.t1,17,4,13,49,24,10,14,17,10,7,7,0
Montipora_capitata_HIv3___RNAseq.g4741.t1,2,43,175,462,10,26,15,4,0,2,5,3
Montipora_capitata_HIv3___RNAseq.190_t,39,14,75,42,14,5,0,0,0,21,0,38
Montipora_capitata_HIv3___RNAseq.g4742.t1,186,185,128,188,243,137,75,28,125,140,150,195
Montipora_capitata_HIv3___RNAseq.g4737.t1,3294,3535,2659,4767,3780,3487,959,3643,2314,4526,2650,6323
Montipora_capitata_HIv3___RNAseq.g4746.t1,0,0,0,0,0,4,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4747.t1,0,0,0,0,0,6,0,0,5,3,0,11
Montipora_capitata_HIv3___RNAseq.g4748.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26442.t1,0,1,0,6,1,2,0,0,0,1,0,4
Montipora_capitata_HIv3___TS.g26435.t1,3,8,5,3,4,0,2,2,5,0,0,6
Montipora_capitata_HIv3___RNAseq.g4744.t1,2017,915,1874,1373,1109,1466,831,253,848,1870,356,1145
Montipora_capitata_HIv3___RNAseq.g4745.t1,2484,1852,2576,2489,1687,2267,1096,110,2037,3314,657,2800
Montipora_capitata_HIv3___RNAseq.g4749.t1,24,0,19,0,7,14,0,0,5,25,0,0
Montipora_capitata_HIv3___RNAseq.g4755.t1,42,98,0,20,172,185,31,6,0,103,0,198
Montipora_capitata_HIv3___RNAseq.g4754.t1,26,21,19,44,11,19,0,10,15,7,28,11
Montipora_capitata_HIv3___RNAseq.g4757.t1,23,0,0,15,0,11,0,0,0,0,0,8
Montipora_capitata_HIv3___RNAseq.g4758.t1,9,6,0,0,10,0,0,2,15,0,0,0
Montipora_capitata_HIv3___RNAseq.g4756.t1,549,386,338,315,375,382,98,279,252,414,303,492
Montipora_capitata_HIv3___RNAseq.g4751.t1,599,446,414,267,415,277,335,252,386,378,503,436
Montipora_capitata_HIv3___RNAseq.g4752.t1,804,781,722,632,805,543,287,517,462,716,516,723
Montipora_capitata_HIv3___RNAseq.g4753.t1,1427,1096,934,1105,1358,1298,592,542,689,1149,1220,1636
Montipora_capitata_HIv3___RNAseq.g4760.t1,0,3,5,0,0,4,0,4,0,2,9,24
Montipora_capitata_HIv3___RNAseq.g4763.t1,0,0,0,0,0,0,0,0,0,1,0,0
Montipora_capitata_HIv3___RNAseq.g4764.t1,0,0,0,18,0,0,0,0,8,0,6,0
Montipora_capitata_HIv3___RNAseq.g4761.t1,381,403,230,414,386,443,135,159,213,499,341,559
Montipora_capitata_HIv3___TS.g26455.t1,894,787,900,908,736,721,354,391,575,781,847,777
Montipora_capitata_HIv3___RNAseq.214_t,45,36,49,68,55,33,19,16,43,44,71,56
Montipora_capitata_HIv3___RNAseq.g4766.t1,2971,2623,2156,3816,2984,3209,910,1679,2354,2449,2734,3738
Montipora_capitata_HIv3___RNAseq.g4767.t1,875,870,394,446,1051,847,150,654,455,465,1161,863
Montipora_capitata_HIv3___RNAseq.g4771.t1,193,121,36,32,178,213,20,4,195,86,95,191
Montipora_capitata_HIv3___TS.g26463.t2,471,191,224,356,170,193,159,43,189,307,202,233
Montipora_capitata_HIv3___RNAseq.g4773.t1,4,8,13,2,19,8,5,0,4,9,0,16
Montipora_capitata_HIv3___RNAseq.g4776.t1a,0,0,0,4,0,3,12,0,0,0,0,4
Montipora_capitata_HIv3___RNAseq.g4776.t1b,0,8,0,5,0,9,0,0,0,0,11,0
Montipora_capitata_HIv3___RNAseq.g4774.t1,63,60,41,19,57,62,34,0,49,63,34,39
Montipora_capitata_HIv3___TS.g26472.t1,31,20,0,3,15,0,0,0,13,40,27,22
Montipora_capitata_HIv3___TS.g26466.t1,0,0,0,0,5,0,0,0,0,3,0,0
Montipora_capitata_HIv3___RNAseq.g4772.t1,50,39,100,139,28,82,30,3,10,134,13,65
Montipora_capitata_HIv3___TS.g26467.t1,2,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4778.t1,385,182,66,82,185,173,81,1,57,221,190,399
Montipora_capitata_HIv3___RNAseq.g4785.t1b,13,49,22,18,51,49,0,0,11,94,0,88
Montipora_capitata_HIv3___RNAseq.g4785.t1a,7,14,0,24,13,18,0,0,4,23,7,28
Montipora_capitata_HIv3___RNAseq.g4784.t1,4,8,0,2,8,6,0,2,7,9,4,10
Montipora_capitata_HIv3___RNAseq.g4782.t1a,0,0,0,0,0,0,0,0,6,6,13,13
Montipora_capitata_HIv3___RNAseq.g4782.t1b,667,688,612,982,784,641,295,160,675,600,656,891
Montipora_capitata_HIv3___RNAseq.g4779.t1,11,15,9,26,14,16,13,18,9,12,10,16
Montipora_capitata_HIv3___RNAseq.g4780.t1,1774,1413,1416,3060,1621,1552,587,383,1020,1636,1615,2256
Montipora_capitata_HIv3___RNAseq.g4781.t1,164,139,115,286,150,124,33,73,102,117,187,239
Montipora_capitata_HIv3___RNAseq.g4798.t1,3,15,1,3,26,2,17,3,11,8,2,8
Montipora_capitata_HIv3___TS.g26493.t2d,1,0,5,2,0,0,0,0,0,23,0,6
Montipora_capitata_HIv3___TS.g26493.t2c,10,0,0,18,0,0,0,0,3,17,0,26
Montipora_capitata_HIv3___TS.g26493.t2a,619,456,558,466,330,428,87,111,533,411,306,443
Montipora_capitata_HIv3___RNAseq.g4800.t1,843,712,769,908,505,630,379,295,622,776,862,1019
Montipora_capitata_HIv3___RNAseq.g4796.t2,1081,886,706,1404,719,884,405,687,793,837,1225,1250
Montipora_capitata_HIv3___RNAseq.g4797.t1,1744,1790,1373,2505,1347,1666,795,599,1439,1734,1454,2413
Montipora_capitata_HIv3___RNAseq.g4788.t1,7,0,0,9,0,1,0,0,3,6,11,0
Montipora_capitata_HIv3___RNAseq.g4789.t1,13,20,23,33,18,0,0,0,11,23,14,46
Montipora_capitata_HIv3___TS.g26487.t1,142,69,95,84,190,96,72,0,70,109,33,114
Montipora_capitata_HIv3___TS.g26488.t2,185,349,166,238,315,285,141,52,112,419,159,691
Montipora_capitata_HIv3___RNAseq.g4795.t2,4311,4471,3249,4255,3876,4725,1175,2760,2912,6216,2403,8381
Montipora_capitata_HIv3___RNAseq.g4806.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4805.t1,6,6,6,6,8,0,0,56,0,0,8,16
Montipora_capitata_HIv3___RNAseq.262_t,6,0,0,0,8,4,0,13,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4804.t1,3166,2758,2227,1559,3227,3094,1295,2936,2343,2981,3076,4989
Montipora_capitata_HIv3___RNAseq.g4824.t1,0,6,35,0,11,0,0,0,19,23,0,10
Montipora_capitata_HIv3___RNAseq.g4823.t1,24,19,7,32,63,62,19,64,31,10,23,67
Montipora_capitata_HIv3___RNAseq.277_t,282,305,227,174,300,272,45,176,207,106,327,200
Montipora_capitata_HIv3___TS.g26505.t1,0,0,0,7,5,2,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4812.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26507.t1,0,0,0,0,9,4,0,0,0,0,7,0
Montipora_capitata_HIv3___RNAseq.266_t,0,0,7,0,0,0,0,0,0,4,0,4
Montipora_capitata_HIv3___TS.g26509.t1,0,0,0,0,0,0,0,2,0,0,8,0
Montipora_capitata_HIv3___RNAseq.g4816.t1,0,0,0,0,0,0,0,0,0,0,0,8
Montipora_capitata_HIv3___RNAseq.g4817.t1,0,0,0,6,0,0,0,0,0,3,0,16
Montipora_capitata_HIv3___RNAseq.g4818.t1,0,0,6,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4819.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26514.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4820.t1,11,25,7,0,27,0,0,0,0,5,0,16
Montipora_capitata_HIv3___TS.g26521.t1b,295,262,231,587,231,222,157,52,221,246,237,350
Montipora_capitata_HIv3___TS.g26521.t1a,183,128,74,186,110,142,60,53,96,96,286,121
Montipora_capitata_HIv3___RNAseq.g4828.t1,277,343,280,547,375,286,95,6,157,428,291,397
Montipora_capitata_HIv3___RNAseq.g4830.t1,159,114,30,40,62,72,17,0,45,63,57,81
Montipora_capitata_HIv3___TS.g26523.t2,12216,9291,13411,17255,7901,9906,5708,3176,8741,11333,9672,13436
Montipora_capitata_HIv3___RNAseq.g4834.t1,0,11,9,16,5,5,0,0,9,9,0,8
Montipora_capitata_HIv3___TS.g26525.t2,4801,5161,2966,3572,4419,4580,1087,718,3772,6192,4411,8185
Montipora_capitata_HIv3___RNAseq.g4832.t1,4,0,0,2,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4833.t1,16,0,0,17,0,0,0,0,0,0,36,0
Montipora_capitata_HIv3___RNAseq.g4835.t1,258,173,468,449,104,214,114,12,104,298,76,221
Montipora_capitata_HIv3___RNAseq.g4836.t1,3138,2222,1992,3596,2615,3170,972,807,2320,2299,2540,3383
Montipora_capitata_HIv3___TS.g26534.t1b,483,308,386,249,456,512,122,300,197,299,274,303
Montipora_capitata_HIv3___RNAseq.g4838.t1,3734,2085,4567,2786,1882,3427,1434,662,1898,3555,1024,2962
Montipora_capitata_HIv3___TS.g26537.t3,291,397,93,180,314,190,20,168,133,232,348,460
Montipora_capitata_HIv3___TS.g26534.t1a,978,741,704,939,1116,1045,384,729,971,989,1194,1322
Montipora_capitata_HIv3___RNAseq.g4841.t1,32573,26900,26342,45635,21417,23576,9750,6685,23043,28373,30953,39069
Montipora_capitata_HIv3___RNAseq.g4842.t1,928,488,560,415,942,960,246,256,730,664,900,1116
Montipora_capitata_HIv3___TS.g26544.t1,6,0,23,7,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4845.t1,1898,1761,1123,929,1243,1193,433,282,1531,1599,1578,2745
Montipora_capitata_HIv3___TS.g26540.t1,401,303,340,244,292,341,147,126,160,433,283,366
Montipora_capitata_HIv3___RNAseq.g4847.t1,631,474,661,773,451,550,101,201,292,524,327,665
Montipora_capitata_HIv3___TS.g26542.t1,721,466,709,825,526,468,207,207,427,728,382,697
Montipora_capitata_HIv3___RNAseq.g4844.t1,17249,13881,11284,12325,12121,13219,6324,3961,9168,18354,10262,24914
Montipora_capitata_HIv3___TS.g26545.t2,169,96,83,157,98,70,65,98,125,108,66,145
Montipora_capitata_HIv3___RNAseq.g4849.t1,3850,2509,1583,2718,3635,3587,1125,2900,2150,2128,4030,3640
Montipora_capitata_HIv3___TS.g26546.t1,752,661,396,554,796,629,448,424,597,483,680,868
Montipora_capitata_HIv3___TS.g26550.t1,16,0,35,19,9,10,0,0,0,5,42,0
Montipora_capitata_HIv3___TS.g26551.t1,47,36,15,19,26,45,24,46,45,39,41,49
Montipora_capitata_HIv3___RNAseq.g4854.t3,669,724,442,758,498,473,333,67,360,512,309,764
Montipora_capitata_HIv3___TS.g26548.t1,1,4,0,0,11,2,0,0,3,3,18,4
Montipora_capitata_HIv3___RNAseq.g4857.t1,60,55,23,48,14,33,7,0,26,21,17,50
Montipora_capitata_HIv3___RNAseq.g4859.t1,19,42,28,16,8,12,24,5,13,60,5,46
